    contract_key,contract_id,installer_key,customer_key,status,financing_option,country,region,term_months,interest_rate,principal_amount,origination_date
731,CON-000731,50,1455,Active,Standard Loan,Austria,Styria,84,6.43,27135.28,08-12-2022
732,CON-000732,21,1715,Active,Standard Loan,Germany,Lower Saxony,60,8.08,11417.94,05-06-2024
733,CON-000733,47,1337,Active,Standard Loan,Germany,Baden-Württemberg,84,5.68,40227.32,19-11-2023
734,CON-000734,9,914,Completed,Lease,Germany,Berlin,180,6.36,36974.73,25-02-2023
735,CON-000735,15,132,Active,Lease,Germany,Berlin,180,4.68,37885.96,03-03-2024
736,CON-000736,5,478,Active,Standard Loan,Austria,Vienna,180,6.17,36825.19,06-11-2024
737,CON-000737,10,436,Active,Standard Loan,Germany,Lower Saxony,84,3.54,39650.07,12-02-2023
738,CON-000738,27,1480,Active,PPA,Austria,Upper Austria,84,5.85,39321.87,03-11-2022
739,CON-000739,24,1905,In Arrears,Subscription,Germany,Bavaria,180,4.31,30422.4,29-05-2023
740,CON-000740,8,1244,Active,Standard Loan,Germany,Berlin,180,6.89,22615.63,27-01-2024
741,CON-000741,29,1073,Active,PPA,Germany,Hesse,120,6.53,34579.17,13-05-2024
742,CON-000742,29,676,Active,Subscription,Germany,Hesse,180,4.13,9347.42,26-04-2024
743,CON-000743,43,1054,Active,Standard Loan,Netherlands,North Brabant,120,5.38,21824.07,22-09-2024
744,CON-000744,23,1487,Completed,Standard Loan,Germany,North Rhine-Westphalia,120,6.45,36073.98,02-08-2023
745,CON-000745,8,454,Active,Standard Loan,Germany,Berlin,120,5.5,34376.94,27-10-2023
746,CON-000746,49,1158,Active,Standard Loan,Germany,Hesse,180,8.11,18930.47,13-10-2022
747,CON-000747,21,1471,Active,Standard Loan,Germany,Lower Saxony,60,4.97,38380.49,17-09-2024
748,CON-000748,49,134,In Arrears,Standard Loan,Germany,Hesse,120,4.47,42113.46,25-07-2022
749,CON-000749,37,1165,Active,Lease,Netherlands,North Holland,120,6.65,21736.86,07-07-2023
750,CON-000750,18,595,Active,PPA,Germany,Bavaria,60,6.08,12562.02,24-07-2023
751,CON-000751,3,1731,Active,Lease,Germany,North Rhine-Westphalia,240,4.27,38514.38,30-06-2022
752,CON-000752,38,805,Active,Standard Loan,Netherlands,North Holland,84,8.07,11448.02,12-01-2023
753,CON-000753,16,1610,Defaulted,Standard Loan,Germany,Berlin,120,4.47,37580.45,30-12-2022
754,CON-000754,31,1935,Active,Standard Loan,Germany,Berlin,60,3.83,39777.1,06-06-2023
755,CON-000755,5,267,Active,PPA,Austria,Vienna,240,5.97,10958.87,09-01-2023
756,CON-000756,34,491,Cancelled,Lease,Germany,Baden-Württemberg,120,8.28,29350.61,17-07-2024
757,CON-000757,35,941,Completed,PPA,Germany,Lower Saxony,180,7.68,29821.84,25-10-2023
758,CON-000758,13,983,Active,Lease,Germany,North Rhine-Westphalia,120,5.14,26826.9,17-05-2024
759,CON-000759,21,55,Completed,Standard Loan,Germany,Lower Saxony,180,4.79,38490.55,11-07-2024
760,CON-000760,49,1249,Active,Lease,Germany,Hesse,240,6.99,26716.22,20-10-2022
761,CON-000761,16,1360,Defaulted,Standard Loan,Germany,Berlin,120,8.14,10453.86,13-03-2024
762,CON-000762,42,590,Active,Standard Loan,Germany,North Rhine-Westphalia,240,5.17,21704.06,07-08-2023
763,CON-000763,50,854,Active,Standard Loan,Austria,Styria,120,5.53,39429.65,29-07-2023
764,CON-000764,9,54,Active,Standard Loan,Germany,Berlin,180,4,11045.48,13-12-2023
765,CON-000765,23,524,Active,Subscription,Germany,North Rhine-Westphalia,240,3.51,14570.2,07-08-2023
766,CON-000766,21,683,Active,Standard Loan,Germany,Lower Saxony,180,3.94,14113.2,09-08-2024
767,CON-000767,50,1326,Active,Subscription,Austria,Styria,180,7.61,15113.18,29-07-2022
768,CON-000768,6,897,Active,Standard Loan,Netherlands,South Holland,180,3.86,30671.27,15-11-2024
769,CON-000769,43,276,Active,PPA,Netherlands,North Brabant,180,3.98,30439.89,14-05-2024
770,CON-000770,36,292,Active,PPA,Austria,Styria,120,6.04,18865.17,17-07-2024
771,CON-000771,12,452,Active,Standard Loan,Germany,Berlin,180,4.55,25067.61,30-03-2024
772,CON-000772,44,826,Active,Standard Loan,Germany,Hesse,84,7.11,18451.58,15-09-2023
773,CON-000773,13,1657,Active,Subscription,Germany,North Rhine-Westphalia,84,6.72,42875.41,22-04-2024
774,CON-000774,12,729,In Arrears,PPA,Germany,Berlin,120,5.45,20768.17,22-06-2023
775,CON-000775,42,202,Active,Standard Loan,Germany,North Rhine-Westphalia,120,6.79,22707.12,20-07-2024
776,CON-000776,18,1740,Completed,Standard Loan,Germany,Bavaria,180,8.29,35806.02,18-09-2023
777,CON-000777,44,108,Defaulted,Standard Loan,Germany,Hesse,120,5.93,44569.65,24-02-2023
778,CON-000778,33,1236,Active,Lease,Germany,Lower Saxony,180,5.59,36521.82,03-09-2023
779,CON-000779,42,494,Active,Lease,Germany,North Rhine-Westphalia,84,7.36,43863.14,12-04-2022
780,CON-000780,43,1207,Active,Lease,Netherlands,North Brabant,120,7.95,44764.35,17-12-2022
781,CON-000781,23,1536,Completed,Standard Loan,Germany,North Rhine-Westphalia,120,7.1,28243.56,14-04-2023
782,CON-000782,18,1018,Active,PPA,Germany,Bavaria,240,3.81,38693.45,15-04-2024
783,CON-000783,31,793,Completed,PPA,Germany,Berlin,84,4.82,40985.99,30-06-2024
784,CON-000784,36,45,Active,Standard Loan,Austria,Styria,120,6.15,9500.13,18-06-2024
785,CON-000785,23,580,Active,PPA,Germany,North Rhine-Westphalia,120,8,42776.93,10-12-2023
786,CON-000786,38,302,In Arrears,Standard Loan,Netherlands,North Holland,120,6.5,9894.24,01-11-2024
787,CON-000787,36,489,Active,Standard Loan,Austria,Styria,180,8.13,22393.98,27-01-2024
788,CON-000788,36,1989,Defaulted,Subscription,Austria,Styria,60,6.73,43023.41,05-07-2024
789,CON-000789,38,1054,Active,Standard Loan,Netherlands,North Holland,180,5.58,41520.32,13-06-2023
790,CON-000790,47,882,Active,Subscription,Germany,Baden-Württemberg,180,6.7,10820.35,31-07-2024
791,CON-000791,49,1063,Active,Standard Loan,Germany,Hesse,180,8.22,43710.32,13-07-2024
792,CON-000792,7,625,Active,PPA,Germany,Bavaria,120,4.11,32715.94,01-05-2024
793,CON-000793,19,1477,Completed,PPA,Germany,Hesse,120,4.75,8674.42,25-12-2022
794,CON-000794,6,235,Active,Subscription,Netherlands,South Holland,120,6.11,33512.6,23-07-2023
795,CON-000795,40,1518,Completed,Standard Loan,Germany,Bavaria,180,7.46,23998.86,18-10-2023
796,CON-000796,9,1578,In Arrears,Standard Loan,Germany,Berlin,180,7.24,10475.32,01-04-2024
797,CON-000797,36,512,Defaulted,Standard Loan,Austria,Styria,120,5.79,19921.92,08-08-2024
798,CON-000798,10,1618,Completed,Subscription,Germany,Lower Saxony,240,8.17,32002.52,22-08-2022
799,CON-000799,44,184,Active,Standard Loan,Germany,Hesse,60,6.1,36346.63,23-10-2024
800,CON-000800,30,574,Active,Standard Loan,Austria,Vienna,120,6.62,9201.76,21-04-2024
801,CON-000801,42,1821,Active,PPA,Germany,North Rhine-Westphalia,84,8.2,32598.48,05-09-2024
802,CON-000802,50,1097,In Arrears,Lease,Austria,Styria,120,3.87,27645.61,05-11-2024
803,CON-000803,21,1133,Active,PPA,Germany,Lower Saxony,120,7.06,40171.68,03-07-2024
804,CON-000804,20,851,Active,Standard Loan,Austria,Styria,180,5.09,12577.9,08-05-2023
805,CON-000805,17,1799,Active,Standard Loan,Germany,North Rhine-Westphalia,120,7.8,38028.35,17-04-2024
806,CON-000806,30,129,Active,Standard Loan,Austria,Vienna,120,8.15,19540.01,05-09-2024
807,CON-000807,39,1628,Active,Standard Loan,Germany,Berlin,240,6.44,11952.66,26-09-2022
808,CON-000808,30,574,Active,Subscription,Austria,Vienna,240,7.98,17160.3,30-10-2023
809,CON-000809,37,1078,Active,PPA,Netherlands,North Holland,120,7.14,12686.47,29-06-2023
810,CON-000810,36,485,Completed,PPA,Austria,Styria,60,6.11,18112.63,24-06-2024
811,CON-000811,10,822,Completed,Standard Loan,Germany,Lower Saxony,120,6.57,22372.32,04-10-2022
812,CON-000812,8,1386,Active,Standard Loan,Germany,Berlin,240,4.94,17214.14,29-09-2023
813,CON-000813,36,1868,Active,Standard Loan,Austria,Styria,120,4.46,17358.64,26-01-2024
814,CON-000814,35,1431,Active,Lease,Germany,Lower Saxony,84,3.7,44931.36,28-01-2024
815,CON-000815,36,484,Active,Lease,Austria,Styria,120,4.06,8104.25,19-03-2024
816,CON-000816,21,367,Completed,Standard Loan,Germany,Lower Saxony,84,7.12,37067.11,24-09-2024
817,CON-000817,21,164,Active,Standard Loan,Germany,Lower Saxony,120,4.51,31496.91,28-06-2024
818,CON-000818,44,1254,Active,Standard Loan,Germany,Hesse,84,5.94,18134.21,21-04-2024
819,CON-000819,24,63,Active,Standard Loan,Germany,Bavaria,180,6.12,15542.08,08-04-2023
820,CON-000820,15,1652,Active,Standard Loan,Germany,Berlin,120,7.31,10415.92,09-01-2023
821,CON-000821,11,1118,Active,Standard Loan,Germany,Baden-Württemberg,240,4.85,25772.96,17-05-2024
822,CON-000822,41,1506,Active,Lease,Germany,Lower Saxony,84,8.24,26858.82,26-11-2023
823,CON-000823,29,885,Active,Subscription,Germany,Hesse,180,6.08,19478.04,02-09-2023
824,CON-000824,6,563,Active,Lease,Netherlands,South Holland,180,7.29,32732.54,09-11-2023
825,CON-000825,42,252,Active,Lease,Germany,North Rhine-Westphalia,180,8.39,8124.72,14-10-2022
826,CON-000826,30,1810,Active,Lease,Austria,Vienna,120,4.44,35106.9,05-03-2022
827,CON-000827,14,1120,Active,Standard Loan,Germany,Baden-Württemberg,180,8.3,28912.98,20-04-2023
828,CON-000828,35,1675,Active,Standard Loan,Germany,Lower Saxony,60,5.18,25441.2,15-04-2024
829,CON-000829,12,1970,Active,PPA,Germany,Berlin,180,4.02,41149.24,04-06-2023
830,CON-000830,11,1496,Active,Standard Loan,Germany,Baden-Württemberg,84,8.45,28297.02,30-03-2023
831,CON-000831,21,1103,Active,PPA,Germany,Lower Saxony,240,5.55,44678.68,14-02-2024
832,CON-000832,45,195,Active,Subscription,Germany,North Rhine-Westphalia,180,3.97,17261.72,02-03-2023
833,CON-000833,13,882,In Arrears,PPA,Germany,North Rhine-Westphalia,120,6.79,33747.15,08-12-2023
834,CON-000834,12,1012,Active,Standard Loan,Germany,Berlin,84,6.02,16485.18,21-04-2024
835,CON-000835,37,601,In Arrears,Lease,Netherlands,North Holland,120,4.32,35339.33,17-09-2024
836,CON-000836,36,493,Active,Standard Loan,Austria,Styria,84,3.73,14637.49,17-02-2024
837,CON-000837,4,682,Active,Lease,Germany,Hesse,84,4.09,41752.93,11-06-2024
838,CON-000838,45,1490,Active,Standard Loan,Germany,North Rhine-Westphalia,120,6.94,38843.93,05-06-2024
839,CON-000839,3,1400,Active,Standard Loan,Germany,North Rhine-Westphalia,84,7.32,15836.05,22-06-2024
840,CON-000840,12,1543,Cancelled,Lease,Germany,Berlin,180,7.07,40701.66,15-02-2024
841,CON-000841,49,878,Active,Lease,Germany,Hesse,180,4.29,44897.05,19-04-2023
842,CON-000842,49,203,Cancelled,PPA,Germany,Hesse,180,5.73,19682.02,01-02-2024
843,CON-000843,43,359,Defaulted,Standard Loan,Netherlands,North Brabant,120,6.18,42308.16,08-01-2023
844,CON-000844,37,773,Active,Standard Loan,Netherlands,North Holland,180,6.17,39715.5,02-02-2024
845,CON-000845,36,1642,Active,Standard Loan,Austria,Styria,60,4.4,40404.57,06-02-2024
846,CON-000846,43,438,Active,Standard Loan,Netherlands,North Brabant,84,6.26,20547.14,26-05-2022
847,CON-000847,18,1129,Completed,Lease,Germany,Bavaria,60,5.95,39002.35,11-01-2023
848,CON-000848,6,699,Active,Standard Loan,Netherlands,South Holland,60,7.1,28228.87,21-05-2024
849,CON-000849,15,430,Active,Standard Loan,Germany,Berlin,60,3.56,9010.91,25-01-2023
850,CON-000850,42,346,Active,Lease,Germany,North Rhine-Westphalia,84,7.21,31570.45,06-03-2023
851,CON-000851,26,179,Active,Lease,Germany,Berlin,180,6.2,21746.96,31-01-2024
852,CON-000852,37,1901,Active,PPA,Netherlands,North Holland,120,4.08,41827.58,27-04-2024
853,CON-000853,14,277,Active,PPA,Germany,Baden-Württemberg,84,6.84,27980.49,14-06-2024
854,CON-000854,9,622,Active,Standard Loan,Germany,Berlin,120,7.44,19622.2,14-09-2023
855,CON-000855,3,1313,Active,Standard Loan,Germany,North Rhine-Westphalia,180,5.39,31556.71,02-08-2023
856,CON-000856,9,558,Active,Lease,Germany,Berlin,84,4.25,17968.14,28-03-2023
857,CON-000857,20,3,In Arrears,Standard Loan,Austria,Styria,120,7.15,28444.1,22-10-2024
858,CON-000858,21,370,Completed,PPA,Germany,Lower Saxony,120,5.28,44953.42,20-11-2024
859,CON-000859,49,845,Active,Standard Loan,Germany,Hesse,84,3.82,17909,06-11-2023
860,CON-000860,21,1375,Active,Lease,Germany,Lower Saxony,180,8.08,35324.73,12-04-2024
861,CON-000861,49,54,Active,Standard Loan,Germany,Hesse,240,5.99,42443.29,28-11-2023
862,CON-000862,40,1184,Active,Standard Loan,Germany,Bavaria,120,4.71,32900.99,08-01-2023
863,CON-000863,36,392,Active,Standard Loan,Austria,Styria,120,6.85,35030.42,22-08-2024
864,CON-000864,13,456,Active,Standard Loan,Germany,North Rhine-Westphalia,120,7.13,27547.88,11-07-2023
865,CON-000865,41,1396,Active,Standard Loan,Germany,Lower Saxony,180,4.96,44341.71,09-12-2022
866,CON-000866,40,1010,Active,Lease,Germany,Bavaria,84,7.44,34681.59,17-12-2022
867,CON-000867,10,1960,Active,Standard Loan,Germany,Lower Saxony,60,3.92,21959.03,20-08-2024
868,CON-000868,15,1214,Active,Standard Loan,Germany,Berlin,120,8.09,36565.37,21-06-2024
869,CON-000869,30,57,Active,Lease,Austria,Vienna,180,4.88,34843.3,02-09-2022
870,CON-000870,37,895,Active,Subscription,Netherlands,North Holland,60,6.93,10128.37,25-05-2024
871,CON-000871,11,762,Defaulted,Standard Loan,Germany,Baden-Württemberg,84,6.13,29723.5,13-01-2024
872,CON-000872,38,433,Active,Lease,Netherlands,North Holland,84,3.97,30194.64,20-11-2024
873,CON-000873,42,933,Active,Standard Loan,Germany,North Rhine-Westphalia,240,4.71,11382.49,22-12-2023
874,CON-000874,8,1120,Active,Standard Loan,Germany,Berlin,60,5.53,9286.03,23-03-2023
875,CON-000875,40,443,Active,Standard Loan,Germany,Bavaria,180,5.14,22405.6,26-03-2024
876,CON-000876,30,524,Active,PPA,Austria,Vienna,60,8.06,15722.03,02-09-2024
877,CON-000877,32,1035,Active,Standard Loan,Germany,Lower Saxony,84,4.14,30096.28,18-05-2023
878,CON-000878,25,1061,Cancelled,PPA,Germany,Hesse,180,7.62,30054.67,18-11-2022
879,CON-000879,36,1784,Active,Standard Loan,Austria,Styria,180,4.17,10143.97,06-10-2024
880,CON-000880,7,1389,Active,PPA,Germany,Bavaria,120,6.2,16356.23,11-06-2024
881,CON-000881,32,1086,Active,Standard Loan,Germany,Lower Saxony,84,7.57,13834.09,11-05-2023
882,CON-000882,15,878,Completed,Standard Loan,Germany,Berlin,60,8.17,33730.43,14-03-2023
883,CON-000883,29,1643,Active,Standard Loan,Germany,Hesse,180,6.65,36786.68,10-01-2023
884,CON-000884,21,684,Completed,Subscription,Germany,Lower Saxony,120,3.98,35614.69,03-03-2024
885,CON-000885,48,1904,Cancelled,PPA,Germany,Lower Saxony,120,4.52,22451.82,24-09-2022
886,CON-000886,3,111,Completed,Standard Loan,Germany,North Rhine-Westphalia,60,8.2,15875.58,03-09-2024
887,CON-000887,18,816,Active,PPA,Germany,Bavaria,120,4.42,29165.54,26-09-2023
888,CON-000888,23,751,Active,Subscription,Germany,North Rhine-Westphalia,180,8.42,38761.49,29-07-2023
889,CON-000889,7,1175,Active,Standard Loan,Germany,Bavaria,60,6.14,24554.91,21-05-2024
890,CON-000890,36,283,Active,Standard Loan,Austria,Styria,84,3.73,16648.66,25-08-2024
891,CON-000891,36,1828,In Arrears,Lease,Austria,Styria,60,7.61,26773.78,18-11-2024
892,CON-000892,5,1391,Active,Standard Loan,Austria,Vienna,84,3.58,44828.45,02-03-2024
893,CON-000893,40,1327,Completed,PPA,Germany,Bavaria,240,5.6,31105.9,03-08-2024
894,CON-000894,36,909,Active,Subscription,Austria,Styria,180,6.5,35001.05,22-10-2024
895,CON-000895,24,312,Active,Lease,Germany,Bavaria,84,7.42,29433.34,05-12-2023
896,CON-000896,9,138,In Arrears,Standard Loan,Germany,Berlin,60,6,19454.95,20-09-2023
897,CON-000897,10,1106,Completed,PPA,Germany,Lower Saxony,180,7.54,16252.03,10-02-2023
898,CON-000898,23,995,Active,Standard Loan,Germany,North Rhine-Westphalia,120,7,44630.84,30-04-2023
899,CON-000899,7,888,In Arrears,Standard Loan,Germany,Bavaria,180,4.37,15988.55,02-12-2022
900,CON-000900,33,103,Active,Lease,Germany,Lower Saxony,240,6.75,41245.31,16-10-2024
901,CON-000901,1,1389,Active,Standard Loan,Germany,Bavaria,180,7.99,43520.76,23-03-2023
902,CON-000902,37,664,Completed,Lease,Netherlands,North Holland,60,7.52,37010.81,26-05-2024
903,CON-000903,9,1666,Active,PPA,Germany,Berlin,180,5.41,21996.96,26-02-2023
904,CON-000904,1,961,Completed,PPA,Germany,Bavaria,60,7.65,40644.61,15-08-2023
905,CON-000905,17,537,Active,Standard Loan,Germany,North Rhine-Westphalia,180,4.76,15105.51,07-10-2024
906,CON-000906,42,127,Active,PPA,Germany,North Rhine-Westphalia,120,7.99,39621.57,13-09-2023
907,CON-000907,1,804,Active,Standard Loan,Germany,Bavaria,120,5.45,40753.65,13-11-2023
908,CON-000908,43,807,Active,PPA,Netherlands,North Brabant,84,3.91,15153.32,09-08-2023
909,CON-000909,42,1933,In Arrears,Lease,Germany,North Rhine-Westphalia,120,3.78,31986.55,16-06-2022
910,CON-000910,43,736,Active,Standard Loan,Netherlands,North Brabant,120,4.39,31292.88,19-06-2023
911,CON-000911,21,1883,Active,Standard Loan,Germany,Lower Saxony,84,4.9,8622.26,15-08-2024
912,CON-000912,15,1909,Active,Standard Loan,Germany,Berlin,180,7.13,36229.76,29-03-2024
913,CON-000913,2,675,In Arrears,Lease,Germany,Berlin,180,7.12,38562.22,26-03-2024
914,CON-000914,47,1987,In Arrears,Standard Loan,Germany,Baden-Württemberg,60,8.18,32961.4,19-10-2023
915,CON-000915,24,711,Active,Standard Loan,Germany,Bavaria,240,5.07,34452,21-06-2023
916,CON-000916,49,1599,In Arrears,Subscription,Germany,Hesse,240,5.82,15581.93,25-11-2023
917,CON-000917,36,1029,Active,Lease,Austria,Styria,60,4.06,35762.49,20-02-2024
918,CON-000918,36,1455,Active,PPA,Austria,Styria,120,8.38,21911.3,08-08-2024
919,CON-000919,30,57,Active,Standard Loan,Austria,Vienna,60,8.31,39988.65,31-10-2023
920,CON-000920,21,1302,Active,PPA,Germany,Lower Saxony,120,4.92,9957.3,28-03-2024
921,CON-000921,21,566,Active,Subscription,Germany,Lower Saxony,240,7.2,26487.36,21-04-2024
922,CON-000922,5,1731,Active,Standard Loan,Austria,Vienna,60,5.96,38363.49,08-05-2024
923,CON-000923,35,46,Active,Lease,Germany,Lower Saxony,84,6.23,35178.27,21-07-2024
924,CON-000924,33,1643,Active,Standard Loan,Germany,Lower Saxony,180,4.66,38434.13,19-04-2024
925,CON-000925,28,135,Active,Standard Loan,Germany,Lower Saxony,120,5.19,29179.74,17-04-2023
926,CON-000926,37,490,Active,PPA,Netherlands,North Holland,120,8.14,12402.81,23-08-2024
927,CON-000927,26,723,Active,Standard Loan,Germany,Berlin,180,4.23,37318.95,21-04-2024
928,CON-000928,30,1128,Active,Standard Loan,Austria,Vienna,84,4.62,20924.24,11-07-2024
929,CON-000929,21,1573,Cancelled,Lease,Germany,Lower Saxony,60,5.18,44588.31,14-08-2024
930,CON-000930,21,1048,Active,Lease,Germany,Lower Saxony,120,7.35,14445.94,17-03-2024
931,CON-000931,49,352,Active,Lease,Germany,Hesse,120,6.17,33228.89,26-06-2022
932,CON-000932,41,1981,Completed,Subscription,Germany,Lower Saxony,84,8.09,39482.28,09-04-2023
933,CON-000933,36,1800,In Arrears,Lease,Austria,Styria,120,7.1,34519.79,01-09-2024
934,CON-000934,16,1010,Active,Standard Loan,Germany,Berlin,180,6.06,31292.09,27-10-2024
935,CON-000935,24,1850,Active,Standard Loan,Germany,Bavaria,240,7.26,9324.58,19-05-2024
936,CON-000936,47,848,Active,Standard Loan,Germany,Baden-Württemberg,120,5.45,15251.58,02-08-2024
937,CON-000937,34,1534,Active,Standard Loan,Germany,Baden-Württemberg,60,6.57,34618.12,05-05-2024
938,CON-000938,30,1253,Active,PPA,Austria,Vienna,240,6.03,34585.97,13-10-2023
939,CON-000939,18,1512,Active,Lease,Germany,Bavaria,240,3.69,31802.31,30-11-2023
940,CON-000940,21,516,Completed,PPA,Germany,Lower Saxony,120,6.98,40671.76,09-06-2024
941,CON-000941,21,1012,Active,Standard Loan,Germany,Lower Saxony,180,6.35,9133.46,27-07-2024
942,CON-000942,30,1801,Active,Standard Loan,Austria,Vienna,180,4.84,14754.57,17-02-2023
943,CON-000943,8,809,Active,Lease,Germany,Berlin,120,6.69,31456.11,21-04-2024
944,CON-000944,14,566,Cancelled,Lease,Germany,Baden-Württemberg,84,8.2,28208.74,08-08-2024
945,CON-000945,6,94,Active,Standard Loan,Netherlands,South Holland,60,6.9,20131.58,17-11-2023
946,CON-000946,50,1975,Active,Lease,Austria,Styria,120,8.34,14358.72,05-06-2023
947,CON-000947,18,1340,Active,Standard Loan,Germany,Bavaria,120,4.62,44682.88,14-06-2024
948,CON-000948,20,900,Active,Standard Loan,Austria,Styria,120,8.28,43134.35,25-12-2023
949,CON-000949,26,1971,Active,Lease,Germany,Berlin,84,4.47,31240.73,02-08-2023
950,CON-000950,28,1877,Cancelled,Lease,Germany,Lower Saxony,84,5.91,25917.22,24-09-2024
951,CON-000951,37,1170,Active,Standard Loan,Netherlands,North Holland,180,3.93,21476.28,13-03-2024
952,CON-000952,6,1732,Defaulted,PPA,Netherlands,South Holland,84,7.14,21546.07,19-09-2023
953,CON-000953,25,1935,Active,Lease,Germany,Hesse,60,7.49,24551.09,12-08-2023
954,CON-000954,48,190,Cancelled,PPA,Germany,Lower Saxony,180,4.92,36481.1,18-05-2024
955,CON-000955,10,580,Active,Standard Loan,Germany,Lower Saxony,240,4.11,29894.19,28-01-2024
956,CON-000956,38,490,Active,PPA,Netherlands,North Holland,60,5.3,16695.37,20-12-2023
957,CON-000957,21,219,In Arrears,PPA,Germany,Lower Saxony,120,8.06,36706.79,27-07-2024
958,CON-000958,32,145,Active,Standard Loan,Germany,Lower Saxony,120,5.71,19050.06,30-04-2024
959,CON-000959,39,1915,Completed,PPA,Germany,Berlin,180,7.16,23612.69,28-12-2023
960,CON-000960,43,1927,In Arrears,PPA,Netherlands,North Brabant,84,8.29,41688.01,08-08-2023
961,CON-000961,23,284,Active,Standard Loan,Germany,North Rhine-Westphalia,240,3.53,9457.88,22-07-2023
962,CON-000962,35,1248,In Arrears,Standard Loan,Germany,Lower Saxony,60,4.68,31778.07,11-01-2024
963,CON-000963,18,754,Active,Lease,Germany,Bavaria,60,5.2,9250.2,11-02-2023
964,CON-000964,30,1015,Active,Standard Loan,Austria,Vienna,120,4.92,27232.93,14-06-2022
965,CON-000965,35,1137,Active,Lease,Germany,Lower Saxony,120,7.75,44647.13,13-10-2023
966,CON-000966,24,218,Completed,Subscription,Germany,Bavaria,120,7.23,12800.25,25-11-2024
967,CON-000967,37,1953,Completed,Standard Loan,Netherlands,North Holland,84,8.29,27455.62,01-04-2024
968,CON-000968,30,763,Defaulted,Lease,Austria,Vienna,84,7.68,12672.93,27-03-2024
969,CON-000969,35,1758,Active,Standard Loan,Germany,Lower Saxony,120,3.54,11324.49,18-07-2023
970,CON-000970,37,36,Active,Standard Loan,Netherlands,North Holland,120,7.33,22948.94,06-07-2023
971,CON-000971,10,935,Active,Standard Loan,Germany,Lower Saxony,120,7.23,21437.93,23-11-2023
972,CON-000972,21,1653,Active,Standard Loan,Germany,Lower Saxony,120,6.59,26904.34,25-02-2024
973,CON-000973,46,1416,Active,Subscription,Netherlands,North Holland,84,3.77,40154.12,01-12-2024
974,CON-000974,35,597,Cancelled,Lease,Germany,Lower Saxony,180,4.49,37126.83,29-08-2024
975,CON-000975,49,1086,Active,Lease,Germany,Hesse,120,4.36,29335.98,15-06-2022
976,CON-000976,45,1547,Active,Standard Loan,Germany,North Rhine-Westphalia,120,5.13,39593.1,22-07-2024
977,CON-000977,30,890,Active,Lease,Austria,Vienna,84,6.77,33991.4,07-09-2024
978,CON-000978,45,588,Active,Lease,Germany,North Rhine-Westphalia,240,4.83,12519.79,23-01-2024
979,CON-000979,26,22,Active,Standard Loan,Germany,Berlin,120,8.21,29128.62,15-12-2023
980,CON-000980,42,1217,Completed,Lease,Germany,North Rhine-Westphalia,180,4.08,41051.06,26-12-2023
981,CON-000981,1,1226,Active,Lease,Germany,Bavaria,60,3.78,17120.11,29-08-2023
982,CON-000982,27,407,Cancelled,Lease,Austria,Upper Austria,180,7.59,13116.19,02-11-2023
983,CON-000983,8,1312,Completed,PPA,Germany,Berlin,180,3.99,37349.64,25-06-2024
984,CON-000984,30,395,Completed,Lease,Austria,Vienna,60,7.3,26090.98,24-08-2024
985,CON-000985,24,766,Defaulted,Lease,Germany,Bavaria,120,6.92,33652.83,10-09-2024
986,CON-000986,20,9,In Arrears,PPA,Austria,Styria,120,3.8,39000.61,09-02-2024
987,CON-000987,11,313,Completed,Standard Loan,Germany,Baden-Württemberg,84,5.44,11034.37,20-11-2023
988,CON-000988,24,1885,Cancelled,Standard Loan,Germany,Bavaria,240,7.86,29109.1,22-07-2023
989,CON-000989,41,503,Active,Standard Loan,Germany,Lower Saxony,180,7.15,29714.54,18-04-2023
990,CON-000990,16,414,Completed,Subscription,Germany,Berlin,180,6.06,10097.48,13-04-2024
991,CON-000991,31,323,In Arrears,Standard Loan,Germany,Berlin,84,6.47,11438.38,26-01-2023
992,CON-000992,4,844,In Arrears,Standard Loan,Germany,Hesse,84,4.29,40069.04,19-02-2023
993,CON-000993,40,1441,Active,Standard Loan,Germany,Bavaria,180,7.23,11301.75,01-03-2023
994,CON-000994,8,1761,Active,Lease,Germany,Berlin,180,3.66,13031.51,05-12-2022
995,CON-000995,29,1471,Active,Lease,Germany,Hesse,84,6.61,34998.19,09-08-2023
996,CON-000996,23,1331,Active,Lease,Germany,North Rhine-Westphalia,60,4.39,32073.18,04-09-2024
997,CON-000997,9,705,Active,Standard Loan,Germany,Berlin,84,4.92,37223.97,22-05-2023
998,CON-000998,18,1366,Active,PPA,Germany,Bavaria,120,4.17,30063.96,23-05-2024
999,CON-000999,11,1310,Active,Lease,Germany,Baden-Württemberg,180,7.7,10442.65,08-01-2024
1000,CON-001000,42,1327,Active,PPA,Germany,North Rhine-Westphalia,120,5.23,36831.1,21-02-2024
1001,CON-001001,41,1144,Active,Standard Loan,Germany,Lower Saxony,84,4.88,23682.9,05-02-2024
1002,CON-001002,16,1047,Active,Standard Loan,Germany,Berlin,180,4.8,10773.11,17-01-2023
1003,CON-001003,8,1124,Active,Standard Loan,Germany,Berlin,120,5.31,13992.29,28-09-2022
1004,CON-001004,33,681,Active,Standard Loan,Germany,Lower Saxony,120,7.81,8828.07,06-05-2023
1005,CON-001005,15,343,Completed,Lease,Germany,Berlin,120,4.81,39970.04,14-04-2023
